ST,Match
TAca84-d1e113-Dd1e1221,ta-l1d35q1-Dd1e296
TAca84-d1e113-Dd1e1596,ta-l1d22q1-Dd1e171
TAca84-d1e113-Dd1e1841,ta-l1d30q1-Dd1e110
TAca84-d1e113-Dd1e1841,ta-l1d37q2-Dd1e166
TAca84-d1e113-Dd1e2372,ta-l1d2q1-Dd1e506
TAca84-d1e113-Dd1e3208,ta-l1d8q1-Dd1e123
TAca84-d1e113-Dd1e3208,ta-l1d8q1-Dd1e246
TAca84-d1e113-Dd1e3439,ta-l1d4q2-Dd1e101
TAca84-d1e113-Dd1e3439,ta-l1d22q1-Dd1e171
TAca84-d1e118-Dd1e214,ta-l1d35q1-Dd1e139
TAca84-d1e118-Dd1e717,ta-l1d43q1-Dd1e116
TAca84-d1e118-Dd1e717,ta-l3d14q1-Dd1e354
TAca84-d1e118-Dd1e1078,ta-l1d35q1-Dd1e198
TAca84-d1e118-Dd1e1329,ta-l1d35q1-Dd1e248
TAca84-d1e118-Dd1e1945,ta-l1d38q1-Dd1e120
TAca84-d1e118-Dd1e2147,ta-l1d38q1-Dd1e268
TAca84-d1e118-Dd1e2147,ta-l3d14q1-Dd1e354
TAca84-d1e118-Dd1e2329,ta-l1d36q1-Dd1e173
TAca84-d1e118-Dd1e2539,ta-l1d36q1-Dd1e123
TAca84-d1e118-Dd1e2819,ta-l1d39q1-Dd1e208
TAca84-d1e118-Dd1e3098,ta-l1d38q1-Dd1e312
TAca84-d1e118-Dd1e3550,ta-l1d38q1-Dd1e223
TAca84-d1e118-Dd1e3696,ta-l1d38q1-Dd1e179
TAca84-d1e118-Dd1e3696,ta-l1d39q1-Dd1e120
TAca84-d1e118-Dd1e3696,ta-l1d39q1-Dd1e167
TAca84-d1e118-Dd1e3696,ta-l1d41q1-Dd1e314
TAca84-d1e123-Dd1e142,ta-l1d36q2-Dd1e101
TAca84-d1e123-Dd1e322,ta-l1d36q2-Dd1e156
TAca84-d1e123-Dd1e322,ta-l3d14q1-Dd1e354
TAca84-d1e128-Dd1e156,ta-l1d19q5-Dd1e3502
TAca84-d1e128-Dd1e470,ta-l1d19q5-Dd1e3502
TAca84-d1e128-Dd1e628,ta-l1d8q1-Dd1e246
TAca84-d1e128-Dd1e628,ta-l1d19q5-Dd1e3502
TAca84-d1e128-Dd1e990,ta-l1d19q5-Dd1e3502
TAca84-d1e128-Dd1e1156,ta-l1d19q5-Dd1e3587
TAca84-d1e128-Dd1e1345,ta-l1d19q5-Dd1e3634
TAca84-d1e128-Dd1e1591,ta-l1d19q5-Dd1e3634
TAca84-d1e134-Dd1e133,ta-l1d19q5-Dd1e3502
TAca84-d1e134-Dd1e648,ta-l1d19q5-Dd1e3502
TAca84-d1e139-Dd1e141,ta-l3d35q1-Dd1e118
TAca84-d1e139-Dd1e141,ta-l4d14q2-Dd1e322
TAca84-d1e139-Dd1e141,ta-l4d49q1-Dd1e391
TAca84-d1e139-Dd1e391,ta-l3d35q1-Dd1e118
TAca84-d1e139-Dd1e391,ta-l4d49q1-Dd1e391
TAca84-d1e144-Dd1e182,ta-l1d45q1-Dd1e142
TAca84-d1e144-Dd1e356,ta-l1d45q1-Dd1e189
TAca84-d1e144-Dd1e920,ta-l1d43q2-Dd1e101
TAca84-d1e144-Dd1e920,ta-l1d45q1-Dd1e233
TAca84-d1e144-Dd1e1195,ta-l1d41q1-Dd1e217
TAca84-d1e144-Dd1e1455,ta-l1d46q1-Dd1e135
TAca84-d1e144-Dd1e1455,ta-l1d47q1-Dd1e110
TAca84-d1e144-Dd1e1455,ta-l1d47q1-Dd1e201
TAca84-d1e144-Dd1e1788,ta-l1d39q1-Dd1e120
TAca84-d1e144-Dd1e2299,ta-l1d46q1-Dd1e295
TAca84-d1e144-Dd1e2558,ta-l2d25q1-Dd1e154
TAca84-d1e144-Dd1e2685,ta-l1d45q1-Dd1e287
TAca84-d1e144-Dd1e2850,ta-l1d45q1-Dd1e287
TAca84-d1e149-Dd1e152,ta-l3d32q1-Dd1e128
TAca84-d1e149-Dd1e451,ta-l2d26q1-Dd1e132
TAca84-d1e149-Dd1e451,ta-l3d32q1-Dd1e128
TAca84-d1e149-Dd1e451,ta-l3d32q1-Dd1e184
TAca84-d1e149-Dd1e700,ta-l2d26q1-Dd1e132
TAca84-d1e149-Dd1e700,ta-l3d19q1-Dd1e545
TAca84-d1e149-Dd1e700,ta-l3d32q1-Dd1e303
TAca84-d1e149-Dd1e846,ta-l3d31q2-Dd1e315
TAca84-d1e149-Dd1e846,ta-l3d32q1-Dd1e362
TAca84-d1e154-Dd1e145,ta-l4d46q1-Dd1e159
TAca84-d1e154-Dd1e455,ta-l4d46q1-Dd1e159
TAca84-d1e154-Dd1e595,ta-l4d46q2-Dd1e109
TAca84-d1e154-Dd1e780,ta-l4d46q2-Dd1e264
TAca84-d1e159-Dd1e168,ta-l1d39q2-Dd1e101
TAca84-d1e159-Dd1e407,ta-l1d39q2-Dd1e144
TAca84-d1e159-Dd1e1080,ta-l1d39q2-Dd1e144
TAca84-d1e165-Dd1e171,ta-l1d40q1-Dd1e173
TAca84-d1e165-Dd1e430,ta-l1d40q1-Dd1e123
TAca84-d1e165-Dd1e677,ta-l1d40q4-Dd1e101
TAca84-d1e165-Dd1e897,ta-l1d41q1-Dd1e176
TAca84-d1e165-Dd1e1094,ta-l1d41q1-Dd1e217
TAca84-d1e165-Dd1e2146,ta-l1d41q1-Dd1e270
TAca84-d1e165-Dd1e2146,ta-l3d17q1-Dd1e447
TAca84-d1e170-Dd1e137,ta-l1d40q1-Dd1e173
TAca84-d1e170-Dd1e137,ta-l3d31q1-Dd1e210
TAca84-d1e170-Dd1e353,ta-l3d31q1-Dd1e210
TAca84-d1e170-Dd1e524,ta-l1d40q1-Dd1e173
TAca84-d1e170-Dd1e524,ta-l3d31q1-Dd1e210
TAca84-d1e175-Dd1e150,ta-l1d42q1-Dd1e123
TAca84-d1e175-Dd1e386,ta-l1d43q1-Dd1e116
TAca84-d1e175-Dd1e616,ta-l1d42q2-Dd1e148
TAca84-d1e175-Dd1e616,ta-l3d1q2-Dd1e249
TAca84-d1e175-Dd1e1003,ta-l1d42q2-Dd1e148
TAca84-d1e175-Dd1e1534,ta-l1d44q1-Dd1e110
TAca84-d1e175-Dd1e1534,ta-l1d44q1-Dd1e157
TAca84-d1e175-Dd1e1534,ta-l1d44q1-Dd1e207
TAca84-d1e180-Dd1e148,ta-l2d1q2-Dd1e173
TAca84-d1e180-Dd1e271,ta-l2d16q1-Dd1e188
TAca84-d1e180-Dd1e418,ta-l4d49q1-Dd1e391
TAca84-d1e185-Dd1e163,ta-l1d13q1-Dd1e3527
TAca84-d1e185-Dd1e718,ta-l1d13q1-Dd1e3567
TAca84-d1e185-Dd1e916,ta-l1d13q1-Dd1e3611
TAca84-d1e185-Dd1e916,ta-l3d8q1-Dd1e121
TAca84-d1e190-Dd1e143,ta-l1d26q2-Dd1e101
